date,first,last3b,last2,last3f
2011-09-01,724533,533 847 021 821,85,
2011-08-16,536960,814 345 005 074,62,
2011-08-01,218756,583 660 703 221,12,
2011-07-16,116556,609 227 052 534,12,
2011-07-01,622953,463 390 160 780,51,
2011-06-16,351276,167 582 162 486,88,
2011-06-01,562370,801 346 556 656,46,
2011-05-16,406417,071 044 700 889,05,
2011-05-02,054136,524 945 133 421,85,
2011-04-16,825988,213 263 593 397,44,
2011-04-01,814931,036 723 584 040,01,
2011-03-16,593331,945 737 209 463,96,
2011-03-01,656037,544 357 396 926,97,
2011-02-16,481746,510 384 388 535,27,
2011-02-01,610089,361 121 596 432,55,
2011-01-16,281062,758 185 546 227,23,
2010-12-30,884112,936 153 186 933,49,
2010-12-16,334380,533 306 315 529,24,
2010-12-01,181752,474 470 086 664,09,
2010-11-16,813993,979 907 129 763,43,
2010-11-01,191100,801 739 968 653,59,
2010-10-16,621377,872 310 518 385,42,
2010-10-01,488372,246 091 003 996,02,
2010-09-16,017422,103 431 316 075,66,
2010-09-01,354656,570 096 656 784,11,
2010-08-16,911097,448 986 689 578,64,
2010-08-01,210008,182 727 769 191,10,
2010-07-16,180387,024 219 572 309,34,
2010-07-01,480239,450 893 961 918,68,
2010-06-16,500104,628 816 200 681,73,
2010-06-01,444874,298 996 374 673,81,
2010-05-16,480012,293 770 008 151,12,
2010-05-02,360371,517 040 382 618,06,
2010-04-16,211743,154 744 285 811,96,
2010-04-01,959517,040 174 663 447,22,
2010-03-16,364222,996 229 619 756,97,
2010-03-01,215227,374 457 470 627,97,
